OrganizationID;"Organization Name";"Headquarters Location";LinkedIn
regrupe;Regrupe;"São Paulo, Sao Paulo, Brazil";"Coupons, Online Portals, Trading Platform"
remessa-online;"Remessa Online";"São Paulo, Sao Paulo, Brazil";"Finance, Financial Services, Security"
remoty;Remoty;"Palhoça, Santa Catarina, Brazil";"Information Services, Information Technology, Productivity Tools, Sensor, Software"
render-crm;"Render CRM";"Rio Grande Do Sul, Rio Grande do Sul, Brazil";"CRM, Sales, Software"
renova-br;"Renova BR";"São Paulo, Sao Paulo, Brazil";"Association, Non Profit"
renovejá;RenoveJá;"Recife, Bahia, Brazil";"Home Improvement, Home Renovation, Home Services, Professional Services"
rent-a-bag;"Rent a Bag";"São Paulo, Sao Paulo, Brazil";"Leisure, Logistics, Tourism, Travel"
rent-for-all;"Rent for All";"São Paulo, Sao Paulo, Brazil";"Consumer Goods, Digital Media, Home Services, Location Based Services, Rental Property, Smart Building"
rentbrella;Rentbrella;"Brasil, Sao Paulo, Brazil";"Internet, Software"
rentcars-com-2;Rentcars.com;"Curitiba, Parana, Brazil";"Automotive, Internet, Travel"
repassa;Repassa;"São Paulo, Sao Paulo, Brazil";"Communities, E-Commerce, Fashion"
repasserápido;RepasseRápido;"Florianópolis, Santa Catarina, Brazil";"Apps, B2B, Software"
replay4me;Replay4me;"Uberlândia, Minas Gerais, Brazil";"E-Learning, EdTech, Education, Online Portals, Training"
representanteaqui;RepresentanteAqui;"São Paulo, Sao Paulo, Brazil";"E-Commerce, File Sharing, Information Technology, Internet"
reprosis;Reprosis;"Porto Alegre, Rio Grande do Sul, Brazil";"Equestrian, Information Technology, Software"
república-interativa;"República Interativa";"Salvador, Sao Paulo, Brazil";"Information Services, Information Technology, Software"
requisitus;Requisitus;"Lajeado, Maranhao, Brazil";"Information Services, Information Technology, Software"
resale;Resale;"Piracicaba, Sao Paulo, Brazil";"Real Estate"
residenceweb;"ResidenceWEB Tecnologia";"Brasília, Rio Grande do Norte, Brazil";"Home Services, Hotel, Information Technology, Internet, Rental Property"
residuall;Residuall;"Belo Horizonte, Minas Gerais, Brazil";"Environmental Engineering, Renewable Energy, Waste Management"
residuum;Residuum;"Manaus, Amazonas, Brazil";"Environmental Engineering, Internet, Waste Management"
resolvvi;Resolvvi;"Ceará, Ceara, Brazil";"Advice, B2C, Consulting, Legal, Legal Tech, Logistics"
responde-ai;"Responde Ai";"Rio De Janeiro, Rio de Janeiro, Brazil";"Artificial Intelligence, E-Learning, Education, Internet, Software"
ressarce;Ressarce;"São Paulo, Sao Paulo, Brazil";"Artificial Intelligence, Finance, Information Technology"
resultados-digitais;"RD Station";"Florianópolis, Santa Catarina, Brazil";"Enterprise Software, Lead Management, Marketing Automation, SaaS"
resultys;Resultys;"Goiânia, Goias, Brazil";"B2B, Business Intelligence, Software"
retroca;Retroca;"São Paulo, Sao Paulo, Brazil";"Children, E-Commerce, Shopping"
revelo;Revelo;"São Paulo, Sao Paulo, Brazil";"B2B, Human Resources, Marketplace, Recruiting"
reverlog;ReverLog;"Curitiba, Parana, Brazil";"Environmental Consulting, Industrial, Information Technology, Logistics, Natural Resources, Waste Management"
reverse-app;"Reverse App";"Criciúma, Parana, Brazil";Apps
reviewr;"Reviewr | Customer Review Intelligence";"Florianópolis, Santa Catarina, Brazil";"Big Data, Information Services, Information Technology, Intelligent Systems, Product Research, Software"
revista-pro-trike;"Revista Pro Trike";"Curitiba, Parana, Brazil";"Digital Media, E-Commerce, Internet, Outdoors, Sports"
rezolve-3e00;Rezolve;"Florianópolis, Santa Catarina, Brazil";"Cloud Computing, Consulting, Information Technology, Mobile, Technical Support"
rfid-technologies;"RFID Technologies";"Rio De Janeiro, Rio de Janeiro, Brazil";"Consulting, Identity Management, Information Technology, Internet, Software"
rgs-partners;"RGS Partners";"São Paulo, Sao Paulo, Brazil";"Financial Services"
rhases;Rhases;"Brasília, Rio Grande do Norte, Brazil";"Health Care, Insurance"
rhb-informática;"RHB Informática";"São Paulo, Sao Paulo, Brazil";"E-Commerce, Internet"
rheco-me;Rheco.me;"São Paulo, Sao Paulo, Brazil";"Corporate Training, Employment, Recruiting, Staffing Agency"
riacycle;RIAcycle;"Petrolina, Pernambuco, Brazil";Internet
rico-com-vc;Rico.com.vc;"Vila Olímpia, Sao Paulo, Brazil";"Finance, Financial Services, FinTech"
ride-mobility;"RIDE Mobility";"Pinheiros, Sao Paulo, Brazil";"Last Mile Transportation, Mobile Apps, Sharing Economy, Smart Cities, Transportation"
rifa-tech;"Rifa Tech";"Belo Horizonte, Minas Gerais, Brazil";"Collection Agency, Crowdfunding, Events, Internet, Peer to Peer"
rino3;Rino3;"Campo Grande, Sao Paulo, Brazil";"Advertising, Digital Marketing, Information Technology, Marketing, Software, Web Development"
rio-5970;rio;"São José Dos Campos, Sao Paulo, Brazil";"Analytics, Human Resources, SaaS"
rise-retail;"Rise Retail";"Sumaré, Sao Paulo, Brazil";"Advertising, Marketing, Point of Sale, Retail, Shopping"
risknow;RISKNOW;"São Paulo, Sao Paulo, Brazil";"Financial Services, Real Estate Investment, Risk Management"
risü;Risü;"Belo Horizonte, Minas Gerais, Brazil";"Internet, Marketplace, Non Profit, Shopping"
rivendel-tecnologia;"Rivendel Tecnologia";"São Paulo, Sao Paulo, Brazil";"Big Data, Cloud Computing, Information Technology"
rivia-cloud-tech;"Rivia Cloud Tech";"Barueri, Sao Paulo, Brazil";"Advice, Consulting, Software"
roadpass-payments-urban-mobility-ltda;"RoadPass Payments & Urban Mobility Ltda.";"São Paulo, Sao Paulo, Brazil";"Banking, Bitcoin, Credit Cards, Cryptocurrency, Debit Cards, Internet of Things, Mobile Payments, Payments, Transaction Processing"
robbiot-iot-solutions;"ROBBIoT IoT Solutions";"São Paulo, Sao Paulo, Brazil";"Industrial, Internet of Things, Risk Management"
robô-laura;"Robô Laura";"Curitiba, Parana, Brazil";"Artificial Intelligence, Information Services"
robolivre;robolivre.org;"Recife, Bahia, Brazil";"Business Development, Collaboration, Developer Platform, Robotics"
robos-im;ROBOS.im;"Belo Horizonte, Minas Gerais, Brazil";"Digital Marketing, Information Technology, Machine Learning, Natural Language Processing"
rock-content;"Rock Content";"Belo Horizonte, Minas Gerais, Brazil";"Advertising, Content Marketing, Digital Marketing, Internet, Marketing, Marketplace, SaaS, Software"
rockbee;RockBee;"Belo Horizonte, Minas Gerais, Brazil";Internet
rocket-chat;Rocket.Chat;"Porto Alegre, Rio Grande do Sul, Brazil";"Apps, Communities, Messaging, Open Source, Video Chat"
rockhead-games;"Rockhead Games";"Porto Alegre, Rio Grande do Sul, Brazil";"Computer, Developer Platform, Gaming, iOS, Mobile Apps"
rodati;Rodati;"São Paulo, Sao Paulo, Brazil";"Advertising, Advertising Platforms, Analytics, Automotive"
roi-hero;"ROI Hero";"São Paulo, Sao Paulo, Brazil";"Enterprise Software, Information Technology, SaaS, Software"
roiplay;Roiplay;"Ribeirão Prêto, Minas Gerais, Brazil";"Advertising, Business Development, Internet, Marketing, Online Games"
roix;ROIx;"São Paulo, Sao Paulo, Brazil";"Ad Targeting, Advertising, Big Data, Content, Marketing"
rondotec;Rondotec;"Marechal Cândido Rondon, Parana, Brazil";"Consumer Electronics, Information Technology, Manufacturing"
ronnin-software-house;"Ronnin Software House";"Lages, Santa Catarina, Brazil";"Business Development, Mobile Apps, Web Development"
rosewood-due-diligence;"Rosewood Due Diligence";"São Paulo, Sao Paulo, Brazil";"Consulting, Information Services, Information Technology"
rota-urbana;"Rota Urbana";"Belém, Paraiba, Brazil";"Apps, Automotive, Logistics, Mobile Apps, Public Transportation, Transportation"
rotaexata;RotaExata;"Joinville, Santa Catarina, Brazil";"B2B, Computer, Information Technology, SaaS, Software"
roupa-em-atacado;"Roupa em Atacado";"Fortaleza, Mato Grosso do Sul, Brazil";"Fashion, Sales, Wholesale"
route;Route;"Gravataí, Rio Grande do Sul, Brazil";"Email Marketing, Lead Generation, Lead Management, Marketing Automation, SaaS"
rp-sistemas-e-inovação;"RP Sistemas e Inovação";"Curitiba, Parana, Brazil";"Consumer Electronics, Internet, Internet of Things"
rsbloggers;RSbloggers;"Porto Alegre, Rio Grande do Sul, Brazil";"Blogging Platforms, Communities, Content Marketing, Marketing"
rt-medical-systems;"RT Medical Systems";"Florianópolis, Santa Catarina, Brazil";"B2B, Personal Health, SaaS, Software, Wellness"
rto-applications;"RTO - Applications";"Recife, Bahia, Brazil";"Consumer Electronics, Electronics, Financial Services, Information Technology, Software"
rubeus-tecnologia-e-inovação;"Rubeus Tecnologia e Inovação";"Muriaé, Minas Gerais, Brazil";"Advertising, CRM, Internet, Marketing"
run-club;"Run Club";"Curitiba, Parana, Brazil";"Communities, Hospitality, Travel, Travel Accommodations"
runrun-it;Runrun;"São Paulo, Sao Paulo, Brazil";"Collaboration, Information Technology, Project Management, Software, Task Management"
rupee-tecnologia;"Rupee Tecnologia";"Rio De Janeiro, Rio de Janeiro, Brazil";"Accounting, Financial Services, FinTech, Information Technology, Innovation Management"
rural-centro;"Rural Centro";"Campo Grande, Sao Paulo, Brazil";"Advertising, Agriculture, Business Development, Internet, Marketing"
s-dequest;S!dequest;"Belo Horizonte, Minas Gerais, Brazil";"B2B, Consumer, Real Estate, Web Apps, Web Development"
s2move;S2Move;"Rio De Janeiro, Rio de Janeiro, Brazil";"Business Development, Consulting, Information Technology, Internet, Software"
sabesim;Sabesim;"São Paulo, Sao Paulo, Brazil";"Management Information Systems, Social Network, Software"
sabores-do-vinho;"Sabores do Vinho";"São Paulo, Sao Paulo, Brazil";"B2B, B2C, Retail, Wholesale, Wine And Spirits"
safertaxi;SaferTaxi;"São Paulo, Sao Paulo, Brazil";"Android, iOS, Mobile, Mobile Apps"
safetydocs;SafetyDocs;"Barueri, Sao Paulo, Brazil";"Cloud Data Services, Document Management, Facilities Support Services, Information Technology, Real Estate"
safetytec;SafetyTec;"Araucária, Parana, Brazil";"Public Safety, Risk Management"
safira-energia;"SAFIRA ENERGIA";"Barueri, Sao Paulo, Brazil";"Consulting, Renewable Energy, Solar"
safira-telecom;"SAFIRA TELECOM";"São Paulo, Sao Paulo, Brazil";"Human Resources, Software, Telecommunications"
saga-labs;"Saga Labs";"Rio De Janeiro, Rio de Janeiro, Brazil";"Augmented Reality, EdTech, Education, Virtual Reality"
saiba-+;"Saiba +";"Paulo Ramos, Maranhao, Brazil";"Consulting, Information Technology, Software"
saibala;Saibala;"São Paulo, Sao Paulo, Brazil";Education
saipos;Saipos;"São Leopoldo, Rio Grande do Sul, Brazil";"Artificial Intelligence, Financial Services, Information Technology, Machine Learning, Point of Sale, Software"
saj-adv;"SAJ ADV";"Florianópolis, Santa Catarina, Brazil";"Information Services, Information Technology, Legal, Legal Tech, Software"
sakoola;Sakoola;"Fortaleza, Mato Grosso do Sul, Brazil";"E-Commerce, Marketing, Marketplace, Retail, Sales, Social"
sala-de-bit;"Sala de Bit";"Belo Horizonte, Minas Gerais, Brazil";"Education, Information Services, Information Technology, Innovation Management"
salão-do-carro;"Salão do Carro";"Campina, Sao Paulo, Brazil";"Automotive, Classifieds, Internet"
sales2u;Sales2U;"Curitiba, Parana, Brazil";"B2B, Data Center, Marketing, Outsourcing, Sales"
salesim;SaleSim;"São Paulo, Sao Paulo, Brazil";"Information Technology, Sales Automation"
salespots;SaleSpots;"Joinville, Santa Catarina, Brazil";"Business Development, Information Technology, Software"
salões-já;"Salões Já";"Porto Alegre, Rio Grande do Sul, Brazil";"E-Commerce, Fashion, Internet, Lifestyle"
salut;Salut!;"São Paulo, Sao Paulo, Brazil";"Business Development, E-Learning, Information and Communications Technology (ICT), Internet"
samba-ads;YContent;"São Paulo, Sao Paulo, Brazil";"Advertising, Content Syndication, Video"
sambapix;Sambapix;"São Paulo, Sao Paulo, Brazil";"Apps, Internet, Mobile, Photography, Printing"
sambodia-consultoria;"Sambodia Consultoria";"São Paulo, Sao Paulo, Brazil";"Advice, Angel Investment, B2B, Business Development, Management Consulting"
sances;Sances;"Blumenau, Santa Catarina, Brazil";"Information Services, Information Technology, Logistics, Software, Transportation"
sand-sign;"Sand Sign";"Costa Rica, Mato Grosso do Sul, Brazil";"Gift Card, Messaging"
santémed;SantéMed;"Ponta Grossa, Parana, Brazil";"Hospitality, Medical Device"
santins;Santins;"Porto Alegre, Rio Grande do Sul, Brazil";"Advertising, Digital Media, Web Development"
santo-contrato;"Santo Contrato";"Porto Alegre, Rio Grande do Sul, Brazil";"Document Management, Document Preparation, Legal, Productivity Tools, Project Management"
santo-emprego;"Santo Emprego";"Vilhena, Rondonia, Brazil";"Employment, Recruiting, Staffing Agency"
sapiens-solutions;"Sapiens Solutions";"Belo Horizonte, Minas Gerais, Brazil";"Advertising, Marketing, Mobile Apps, Software, Web Hosting"
satoshi-investimentos;"Satoshi Investimentos";"Porto Alegre, Rio Grande do Sul, Brazil";"Cryptocurrency, Financial Exchanges, Financial Services"
satty;Satty;"Blumenau, Santa Catarina, Brazil";Software
saude-vianet;"Saude Vianet";"Salvador, Sao Paulo, Brazil";"CRM, Health Care, Information Technology, Internet, Software"
sauper-desenvolvimento-e-projetos;"Sauper Desenvolvimento e Projetos";"Caxias Do Sul, Rio Grande do Sul, Brazil";Consulting
sautil;Sautil;"São Paulo, Sao Paulo, Brazil";"Digital Media, Health Care"
sautlink;Sautlink;"São Paulo, Sao Paulo, Brazil";"CRM, E-Commerce, Information Technology"
say2me;Avalia.ai;"Rio De Janeiro, Rio de Janeiro, Brazil";"Consumer Reviews, Information Technology, Internet"
scaffold-education;"Scaffold Education";"Bauru, Sao Paulo, Brazil";"E-Learning, Education, Franchise"
scale-smarter;"Scale Smarter";"São Paulo, Sao Paulo, Brazil";"Computer, SaaS, Software"
scheme-lab;"Scheme Lab";"São Paulo, Sao Paulo, Brazil";"Biotechnology, Genetics, Nanotechnology"
schoolastic-resultados-pedagógicos;"Schoolastic Resultados Pedagógicos";"Porto Alegre, Rio Grande do Sul, Brazil";"B2B, Education, Information Services, Information Technology, SaaS"
scicrop;SciCrop;"São Paulo, Sao Paulo, Brazil";"Agriculture, Analytics, Artificial Intelligence, Big Data, Farming, Internet, Internet of Things, Machine Learning, Software"
sciensa;Sciensa;"Paraiso, Piaui, Brazil";"Consulting, Information Technology, Internet, Software"
scoo;SCOO;"São Paulo, Sao Paulo, Brazil";"CleanTech, Last Mile Transportation, Ride Sharing, Sharing Economy, Transportation"
screencorp;Screencorp;"São Paulo, Sao Paulo, Brazil";"B2B, Digital Signage, Information Technology, SaaS, Software"
scrumhalf;ScrumHalf;"Rio De Janeiro, Rio de Janeiro, Brazil";"Developer Tools, Project Management, SaaS, Small and Medium Businesses, Software"
scup;Scup;"São Paulo, Sao Paulo, Brazil";"SaaS, Social Media, Social Media Marketing, Software"
seal-broadcast-content;"Seal Broadcast & Content";"São Paulo, Sao Paulo, Brazil";"Broadcasting, Digital Media, Information Technology, Media and Entertainment"
search-digital;"Search Digital";"São Paulo, Sao Paulo, Brazil";"Analytics, Data Integration, Digital Marketing"
seed-digital;"Seed Digital";"São Paulo, Sao Paulo, Brazil";"Advertising, Analytics, Information Technology, Intelligent Systems, Internet, Marketing, Software"
seekr;Seekr;"Vila Olímpia, Sao Paulo, Brazil";"Enterprise Software, Information Technology, Social Media"
segfy;Segfy;"Curitiba, Parana, Brazil";"Enterprise Software, Information Technology, Innovation Management, Insurance, SaaS"
seja-trainee;"Seja Trainee";"São Paulo, Sao Paulo, Brazil";"Advice, Career Planning, Consulting, Education"
selfit-academias;"SelfIt Academias";"Recife, Bahia, Brazil";"Health Care, Wellness"
sellbie;Sellbie;"Rio De Janeiro, Rio de Janeiro, Brazil";"Apps, Sales"
sellead;Sellead;"Ribeirão Prêto, Minas Gerais, Brazil";"CRM, Education, Software"
selo-da-sorte;"Selo da Sorte";"São Paulo, Sao Paulo, Brazil";"E-Commerce, Gambling, Gaming, SaaS, Software"
selo-reserva;"Selo Reserva";"Rio De Janeiro, Rio de Janeiro, Brazil";"E-Commerce, Food and Beverage, Wine And Spirits, Winery"
sem-processo;"Sem Processo";"Rio De Janeiro, Rio de Janeiro, Brazil";"Business Information Systems, Business Intelligence, Legal, Legal Tech, Management Consulting"
semantics;Semantics;"São Paulo, Sao Paulo, Brazil";"Consulting, Semantic Search"
semantix-3;Semantix;"São Paulo, Sao Paulo, Brazil";"Analytics, Artificial Intelligence, Big Data, Developer Platform, Internet of Things, Machine Learning, Predictive Analytics, Search Engine"
sempre-tecnologia-da-informação;"Sempre Tecnologia da Informação";"Brasília, Rio Grande do Norte, Brazil";"Business Intelligence, Information Technology, Internet, SaaS, Software"
semsenha-com;SemSenha.com;"Juiz De Fora, Minas Gerais, Brazil";"Information Technology, Internet, Wireless"
send4;Send4;"Curitiba, Parana, Brazil";"Customer Service, E-Commerce, Information Technology, Internet, Loyalty Programs, Retail, Retail Technology, SaaS"
senfio;Senfio;"Recife, Bahia, Brazil";"Business Information Systems, Information Technology, Software, Telecommunications, Wireless"
senior-social-brasil;"Senior Social Brasil";"São Paulo, Sao Paulo, Brazil";"Events, Facilities Support Services, Marketing, Sales, Software"
senscar;SENSCAR;"Curitiba, Parana, Brazil";"Public Safety, Public Transportation"
sensedata;SenseData;"São Paulo, Sao Paulo, Brazil";"Business Information Systems, Information Technology, Internet, SaaS, Software"
sensedia;Sensedia;"São Paulo, Sao Paulo, Brazil";"Developer APIs, Information Technology, Professional Services, Software"
sensix-agro;Sensix;"Uberlândia, Minas Gerais, Brazil";"Agriculture, AgTech, Artificial Intelligence, Information Technology, Machine Learning"
sensorvision;SensorVision;"Paulínia, Sao Paulo, Brazil";"Agriculture, AgTech, Artificial Intelligence, Computer Vision, Information Technology"
sensorweb;Sensorweb;"Florianópolis, Santa Catarina, Brazil";"Computer, CRM, Information Technology, Software, Wearables"
sensr-it-information-technology;"Sensr.It Information Technology";"São Paulo, Sao Paulo, Brazil";"Government, Information Technology, SaaS"
sentimonitor;Sentimonitor;"Porto Alegre, Rio Grande do Sul, Brazil";"Internet, Social Media, Social Network"
seo-master;"SEO Master";"Icaraí, Rio de Janeiro, Brazil";"E-Commerce, Search Engine, SEO, Software"
serasaconsumidor;SerasaConsumidor;"São Paulo, Sao Paulo, Brazil";"Consumer, Financial Services, Health Care"
serdivino;SerDivino;"Rio De Janeiro, Rio de Janeiro, Brazil";"Communities, Internet, Religion"
serengifty;Serengifty;"Rio De Janeiro, Rio de Janeiro, Brazil";"Information Technology, Internet, Mobile, Software, Web Hosting"
serviçaria;Serviçaria;"São Paulo, Sao Paulo, Brazil";"Database, Marketing, Service Industry"
services-4-you;"Services 4 You";"Rio De Janeiro, Rio de Janeiro, Brazil";"B2B, B2C, Mobile, SaaS, Web Development"
servicetouch;ServiceTouch;"São Paulo, Sao Paulo, Brazil";"Local Advertising, Local Business, Marketplace, Mobile, Mobile Advertising, Mobile Apps"
servicili-the-social-network-for-services;Servicili;"Foz Do Iguaçu, Parana, Brazil";"Marketplace, Private Social Networking, Social Media"
serviço-legal;"Serviço Legal";"Porto Alegre, Rio Grande do Sul, Brazil";"Information Technology, Legal, Professional Services"
sesh-3;Sesh;"Rio De Janeiro, Rio de Janeiro, Brazil";Internet
set-construção-virtual;"SET - Construção Virtual";"Recife, Bahia, Brazil";"Architecture, Hospitality, Intelligent Systems, Real Estate, Smart Building, Virtual Reality"
seu-menu;"Seu Menu";"Vitória Da Conquista, Bahia, Brazil";"Apps, Food and Beverage, Food Delivery, Mobile, Restaurants"
seuapoio;SeuApoio;"São Paulo, Sao Paulo, Brazil";"Accounting, Finance, Legal"
seufeedback;SeuFeedback;"Rio De Janeiro, Rio de Janeiro, Brazil";"Customer Service, Real Time"
sev-soluções;"SEV Soluções";"Marília, Sao Paulo, Brazil";"Artificial Intelligence, E-Commerce, Information Technology, Machine Learning, Software"
sf-labs;"SF Labs";"São Carlos Do Pinhal, Sao Paulo, Brazil";"Information Technology, Internet"
sga-tecnologia-inteligente;"SGA Tecnologia Inteligente";"Belo Horizonte, Minas Gerais, Brazil";"Information Technology, IT Infrastructure"
sharenext;ShareNext;"Brazilia, Minas Gerais, Brazil";"Coworking, Rental"
shark-digital;"SHARK Digital";"Santos, Minas Gerais, Brazil";"Information Technology, Web Design, Web Development"
shelfpix;Shelfpix;"São Paulo, Sao Paulo, Brazil";"Artificial Intelligence, Computer, Computer Vision, Consumer Goods, Fast-Moving Consumer Goods, Information Services, Information Technology, Machine Learning, Retail, Retail Technology"
sherlock-pr-communications-ltd;"Sherlock PR & Communications Ltd.";"São Paulo, Sao Paulo, Brazil";"Brand Marketing, Digital Marketing, FinTech, Internet, Marketing, Mobile, Public Relations, Social Media, Social Media Advertising"
shine-cortinas-e-persianas;"Shine - Cortinas e Persianas";"Volta Redonda, Rio de Janeiro, Brazil";E-Commerce
shipfy;Shipfy;"São Paulo, Sao Paulo, Brazil";"Real Time, Shipping, Transportation"
shipp;Shipp;"Victoria, Espirito Santo, Brazil";"Apps, Delivery, Logistics, Marketplace, Retail"
shipper;Shipper;"Fortaleza, Mato Grosso do Sul, Brazil";"Apps, Real Estate, Rental Property"
shippify;Shippify;"Bello Horizonte, Minas Gerais, Brazil";"Collaborative Consumption, Crowdsourcing, Delivery, Developer APIs, E-Commerce, Logistics, Shipping"
shoes4you;Shoes4you;"Curitiba, Parana, Brazil";"E-Commerce, Fashion, Internet, Shoes, Subscription Service"
shop-and-travel-guides;Camminare;"São Paulo, Sao Paulo, Brazil";"Tourism, Travel"
shop-da-peça;"Shop da Peça";"São Luís, Sao Paulo, Brazil";"Automotive, B2B, Marketplace, Retail, Wholesale"
shopback-2;ShopBack;"São Paulo, Sao Paulo, Brazil";"Analytics, Big Data, Contact Management, E-Commerce, Information Technology, Marketing Automation, Predictive Analytics, Web Browsers, Web Development"
shopcliq;Shopcliq;"Brasil, Sao Paulo, Brazil";"E-Commerce, Ediscovery, Fashion, Retail"
shopgram-6827;Shopgram;"Rio De Janeiro, Rio de Janeiro, Brazil";"E-Commerce, Fashion, Retail"
shopitos-blog-market-e-e-commerce;"Shopitos Blog Market e E-Commerce";"Barueri, Sao Paulo, Brazil";"B2B, Digital Marketing, E-Commerce, Retail, Sales Automation"
shopper;Shopper.com.br;"São Paulo, Sao Paulo, Brazil";"Customer Service, E-Commerce, Food and Beverage, Professional Services, Service Industry, Shopping"
shopperum;ShopperUM;"São Paulo, Sao Paulo, Brazil";"Augmented Reality, Business Intelligence, Information Technology, Retail, Wholesale"
shoptutor;Shoptutor;"Porto Alegre, Rio Grande do Sul, Brazil";"Artificial Intelligence, E-Commerce, Fashion, Hardware"
shosp;Shosp;"Rio De Janeiro, Rio de Janeiro, Brazil";"Health Care, Professional Services"
show-de-ingressos;"Show de Ingressos";"São Paulo, Sao Paulo, Brazil";"E-Commerce, Events, Ticketing"
showmetech;Showmetech;"São Paulo, Sao Paulo, Brazil";"Consumer Reviews, Information Technology, Journalism, Media and Entertainment, News"
shyzu;Shyzu;"Rio De Janeiro, Rio de Janeiro, Brazil";"Advertising, Digital Entertainment, Internet, Marketing, Social, TV, Video"
si2-sistema-de-informao-do-investidor;"SI2 - Sistema de Informação do Investidor";"Belo Horizonte, Minas Gerais, Brazil";"Computer, Information Technology, Software"
sicilying;Sicilying;"Itá, Santa Catarina, Brazil";Travel
sicombus;SICOMBUS;"Ananindeua, Para, Brazil";"Fleet Management, Fuel, Information Services, Information Technology"
sienna-interlink;"Sienna Interlink";"Barueri, Sao Paulo, Brazil";"Events, Marketing, Media and Entertainment"
sieve;SIEVE;"Rio De Janeiro, Rio de Janeiro, Brazil";"B2B, E-Commerce, Information Technology, Internet, Software"
sigalei;Sigalei;"São Carlos, Rondonia, Brazil";"Artificial Intelligence, Government, GovTech, Legal, Legal Tech"
sige-cloud;"SIGE Cloud";"Caxias Do Sul, Rio Grande do Sul, Brazil";"Cloud Computing, Internet, Management Information Systems"
sigmais-iot-company;"Sigmais IoT Company";"Vitória, Piaui, Brazil";"B2B, Construction, Hardware, Internet of Things, Smart Cities"
signa-edu;"Signa Edu";"Florianópolis, Santa Catarina, Brazil";"E-Learning, EdTech, Education"
signativa-ecommerce-de-resultados;"Signativa | eCommerce de Resultados";"Blumenau, Santa Catarina, Brazil";"E-Commerce, Internet, SaaS, Sales Automation, Software"
signia-digital;"Signia Digital";"Joinville, Santa Catarina, Brazil";"Augmented Reality, B2B, Communications Infrastructure, Digital Media, Virtual Reality"
sigo-trade;"SIGO Trade";"Curitiba, Parana, Brazil";"Information Services, Information Technology"
siliconreef;SiliconReef;"Recife, Bahia, Brazil";"Electronics, Energy, Semiconductor"
silo-verde-armazenagem-sustentável;"Silo Verde Armazenagem Sustentável";"São Leopoldo, Rio Grande do Sul, Brazil";"Agriculture, AgTech, Information Technology, Internet, Software"
silver-shark-solutions;"Silver Shark Solutions";"São Paulo, Sao Paulo, Brazil";"Analytics, Artificial Intelligence, Big Data, Consulting, Digital Marketing, Information Services, Information Technology, Management Consulting, Marketing Automation, Sales"
simbio;Simbio;"Porto Alegre, Rio Grande do Sul, Brazil";"Apps, E-Commerce, Information Technology, Mobile, Software"
simples-dental;"Simples Dental";"Criciúma, Parana, Brazil";"Dental, Health Care, Software"
simplesvet;SimplesVet;"Salvador, Sao Paulo, Brazil";"Health Care, Information Technology, SaaS, Software, Veterinary"
simplifica-obra;"Simplifica Obra";"Brasil, Sao Paulo, Brazil";"Commercial, Construction, Residential"
simplificaci;SimplificaCI;"São José do Rio Prêto, Sao Paulo, Brazil";"Human Resources, Messaging, SaaS"
simplificador;Simplificador;"São Paulo, Sao Paulo, Brazil";"Accounting, Employee Benefits, Professional Services, Service Industry, Small and Medium Businesses"
simpo-4f9b;Simpo;"Vitória, Piaui, Brazil";"E-Commerce, Loyalty Programs"
sinfe;SINFE;"Campinas, Goias, Brazil";"B2B, Business Development, Enterprise Resource Planning (ERP), Software"
singu;Singu;"São Paulo, Sao Paulo, Brazil";"Beauty, Cosmetics, Personal Development, Wellness, Women's"
sintony-comunicação;"Sintony Comunicação";"São Paulo, Sao Paulo, Brazil";"Advertising, Marketing"
sirros;Sirros;"Vila Nova, Sao Paulo, Brazil";"Industrial Automation, Information Technology, Internet of Things, SaaS"
sischef;Sischef;"Francisco Beltrão, Parana, Brazil";"Digital Marketing, Marketing, Restaurants"
sisconfirme;Sisconfirme;"Belo Horizonte, Minas Gerais, Brazil";"B2B, B2C, EdTech, Education, Mobile"
sistema-azul;"Sistema Azul";"São Paulo, Sao Paulo, Brazil";"Finance, Information Technology, Legal"
sistema-vitto;"Sistema Vitto";"Curitiba, Parana, Brazil";"Delivery Service, Marketing, Restaurants"
sistemapet;SistemaPET;"Florianópolis, Santa Catarina, Brazil";"Information Technology, Pet, Software"
site-blindado;"Site Blindado";"São Paulo, Sao Paulo, Brazil";"Cyber Security, Internet, Software"
site-campus;"Site Campus";"Porto Alegre, Rio Grande do Sul, Brazil";"Business Development, Project Management, Training"
sitebin;Sitebin;"Rio De Janeiro, Rio de Janeiro, Brazil";"SaaS, Web Development"
sitepx;SitePX;"São Paulo, Sao Paulo, Brazil";"Information Technology, Internet, Marketing, Software, Web Development"
sitesouro;Sitesouro;"Botucatu, Sao Paulo, Brazil";"Marketing, SEO, Web Development"
sivirino;Sivirino;"Brotas De Macaúbas, Bahia, Brazil";"Cloud Data Services, Communities, Social Network"
sizebay;Sizebay;"Joinville, Santa Catarina, Brazil";"E-Commerce, Fashion, Internet, Internet of Things, Product Design"
sizify;Sizify;"Brasília, Rio Grande do Norte, Brazil";"B2B, Business Information Systems, GovTech, Information Technology, Software"
skac;SKAC;"Barueri, Sao Paulo, Brazil";"Information Services, Information Technology"
skatetake;"SkateTake Solutions";"Blumenau, Santa Catarina, Brazil";"Communities, Information Technology, Video"
